shape,delta,decisions,fire_rate,flip_capture,gt_frej_capture
one-sided,0.0200,79925544,0.144683,0.547359,0.217020
band,0.0200,79925544,0.027550,0.240185,0.217020
one-sided,0.0500,79925544,0.168870,0.681557,0.454143
band,0.0500,79925544,0.069081,0.514549,0.454143
one-sided,0.1000,79925544,0.215875,0.833329,0.682047
band,0.1000,79925544,0.139389,0.783121,0.682047
one-sided,0.1500,79925544,0.270516,0.913540,0.789679
band,0.1500,79925544,0.211517,0.901523,0.789679
one-sided,0.2000,79925544,0.331247,0.950944,0.842317
band,0.2000,79925544,0.285302,0.948577,0.842317
one-sided,0.3000,79925544,0.460937,0.975835,0.892241
band,0.3000,79925544,0.432199,0.975762,0.892241
one-sided,0.5000,79925544,0.685816,0.987254,0.936961
band,0.5000,79925544,0.674385,0.987254,0.936961
