shape,delta,ef,recall,vec_reads_per_q,pq_per_q,exact_per_q,rescore_per_q,total_dists_per_q,seconds
exact,0.0000,200,0.865471,4195.28,0.00,4195.28,0.00,4195.28,0.87
exact,0.0000,150,0.824208,3268.99,0.00,3268.99,0.00,3268.99,0.71
exact,0.0000,125,0.794575,2798.68,0.00,2798.68,0.00,2798.68,0.61
exact,0.0000,100,0.754503,2323.09,0.00,2323.09,0.00,2323.09,0.54
all-PQ,0.0000,200,0.679227,200.00,4202.65,0.00,200.00,4202.65,0.68
one-sided,0.0200,200,0.821676,1011.71,3369.46,811.71,200.00,4181.16,0.81
one-sided,0.0500,200,0.834434,1100.61,3284.74,900.61,200.00,4185.35,0.81
one-sided,0.1000,200,0.847514,1277.75,3114.39,1077.75,200.00,4192.14,0.83
one-sided,0.1500,200,0.854142,1489.10,2907.13,1289.10,200.00,4196.23,0.86
one-sided,0.2000,200,0.857287,1727.89,2670.60,1527.89,200.00,4198.49,0.89
one-sided,0.3000,200,0.860171,2243.17,2155.85,2043.17,200.00,4199.02,0.95
one-sided,0.5000,200,0.862449,3140.65,1257.27,2940.65,200.00,4197.93,1.04
band,0.0200,200,0.703036,516.43,3875.94,316.43,200.00,4192.38,0.74
band,0.0500,200,0.733698,686.36,3706.77,486.36,200.00,4193.13,0.75
band,0.1000,200,0.773401,972.81,3423.73,772.81,200.00,4196.53,0.80
band,0.1500,200,0.797425,1267.62,3135.03,1067.62,200.00,4202.66,0.83
band,0.2000,200,0.812304,1565.68,2840.52,1365.68,200.00,4206.20,0.87
band,0.3000,200,0.829767,2150.30,2256.28,1950.30,200.00,4206.59,0.93
band,0.5000,200,0.846552,3107.80,1295.27,2907.80,200.00,4203.07,1.05
