step_lo,step_hi,k_safe,count
0,30,0,188844
0,30,1,69871
0,30,2,39286
0,30,3,26082
0,30,4,18318
0,30,5,13934
0,30,6,10249
0,30,7,7905
0,30,8,6365
0,30,9,5106
0,30,10,4241
0,30,11,3227
0,30,12,2604
0,30,13,2132
0,30,14,1726
0,30,15,1364
0,30,16,178746
30,60,0,154438
30,60,1,70186
30,60,2,49047
30,60,3,37834
30,60,4,30085
30,60,5,24726
30,60,6,20531
30,60,7,17184
30,60,8,15027
30,60,9,12665
30,60,10,10968
30,60,11,9735
30,60,12,8765
30,60,13,7806
30,60,14,6891
30,60,15,6285
30,60,16,117827
60,90,0,143225
60,90,1,66531
60,90,2,47553
60,90,3,37217
60,90,4,30283
60,90,5,25123
60,90,6,21092
60,90,7,18058
60,90,8,15456
60,90,9,13431
60,90,10,11737
60,90,11,10327
60,90,12,9074
60,90,13,8082
60,90,14,7284
60,90,15,6436
60,90,16,129091
90,120,0,136972
90,120,1,65102
90,120,2,47184
90,120,3,37522
90,120,4,30645
90,120,5,25578
90,120,6,21743
90,120,7,18486
90,120,8,15879
90,120,9,13809
90,120,10,12020
90,120,11,10529
90,120,12,9346
90,120,13,8271
90,120,14,7466
90,120,15,6724
90,120,16,132724
120,150,0,131134
120,150,1,64106
120,150,2,47307
120,150,3,37864
120,150,4,31271
120,150,5,26073
120,150,6,22114
120,150,7,18889
120,150,8,16315
120,150,9,14240
120,150,10,12395
120,150,11,10778
120,150,12,9568
120,150,13,8401
120,150,14,7614
120,150,15,6780
120,150,16,135151
150,180,0,128413
150,180,1,63198
150,180,2,47050
150,180,3,38194
150,180,4,31424
150,180,5,26583
150,180,6,22436
150,180,7,19444
150,180,8,16808
150,180,9,14605
150,180,10,12714
150,180,11,11236
150,180,12,9852
150,180,13,8694
150,180,14,7844
150,180,15,6987
150,180,16,134518
180,210,0,113508
180,210,1,56362
180,210,2,42178
180,210,3,33850
180,210,4,27859
180,210,5,23535
180,210,6,19899
180,210,7,17034
180,210,8,14860
180,210,9,12742
180,210,10,11179
180,210,11,9890
180,210,12,8713
180,210,13,7840
180,210,14,6969
180,210,15,6259
180,210,16,120913
210,240,0,4830
210,240,1,2295
210,240,2,1568
210,240,3,1163
210,240,4,884
210,240,5,768
210,240,6,602
210,240,7,506
210,240,8,439
210,240,9,352
210,240,10,314
210,240,11,294
210,240,12,273
210,240,13,228
210,240,14,210
210,240,15,209
210,240,16,3444
240,270,0,375
240,270,1,179
240,270,2,112
240,270,3,99
240,270,4,70
240,270,5,72
240,270,6,60
240,270,7,50
240,270,8,42
240,270,9,45
240,270,10,35
240,270,11,28
240,270,12,22
240,270,13,33
240,270,14,29
240,270,15,24
240,270,16,322
270,300,0,151
270,300,1,73
270,300,2,42
270,300,3,43
270,300,4,41
270,300,5,35
270,300,6,24
270,300,7,20
270,300,8,15
270,300,9,14
270,300,10,11
270,300,11,9
270,300,12,7
270,300,13,5
270,300,14,4
270,300,15,2
270,300,16,85
300,-1,0,81
300,-1,1,33
300,-1,2,27
300,-1,3,25
300,-1,4,28
300,-1,5,14
300,-1,6,13
300,-1,7,14
300,-1,8,9
300,-1,9,11
300,-1,10,8
300,-1,11,7
300,-1,12,6
300,-1,13,3
300,-1,14,4
300,-1,15,4
300,-1,16,45
