step_lo,step_hi,predictions,sanity,win_pq,miss_mixed,miss_allpq,miss_low,miss_rnd
0,30,580000,1.000000,0.898103,0.618433,0.664690,0.235828,0.262102
30,60,600000,1.000000,0.533260,0.662102,0.894700,0.245470,0.280303
60,90,600000,1.000000,0.406385,0.641682,0.939065,0.232430,0.268083
90,120,600000,1.000000,0.347242,0.633853,0.955998,0.227023,0.265183
120,150,600000,1.000000,0.309120,0.627318,0.964672,0.220797,0.259320
150,180,600000,1.000000,0.283597,0.624655,0.969540,0.219383,0.256428
180,210,533590,1.000000,0.276756,0.623404,0.971053,0.213400,0.257003
210,240,18379,1.000000,0.502748,0.677023,0.955765,0.133685,0.281082
240,270,1597,1.000000,0.393237,0.633062,0.961803,0.077019,0.257984
270,300,581,1.000000,0.368330,0.733219,0.972461,0.037866,0.356282
300,-1,332,1.000000,0.388554,0.701807,0.960843,0.072289,0.222892
