step_lo,step_hi,predictions,sanity,win_pq,miss_mixed,miss_allpq,miss_low,miss_rnd
0,30,580000,1.000000,0.569424,0.325591,0.664683,0.142678,0.138203
30,60,600000,1.000000,0.319215,0.257397,0.894615,0.103737,0.099493
60,90,600000,1.000000,0.271820,0.238708,0.938870,0.093135,0.092142
90,120,600000,1.000000,0.246485,0.228285,0.955762,0.088110,0.087953
120,150,600000,1.000000,0.226910,0.218557,0.964348,0.083013,0.084170
150,180,600000,1.000000,0.214550,0.214022,0.969138,0.080182,0.082447
180,210,533590,1.000000,0.210849,0.212725,0.970642,0.078319,0.082039
210,240,18379,1.000000,0.318516,0.262800,0.954568,0.055063,0.100169
240,270,1597,1.000000,0.274264,0.234815,0.960551,0.030056,0.092048
270,300,581,1.000000,0.270224,0.259897,0.970740,0.025818,0.113597
300,-1,332,1.000000,0.280120,0.243976,0.960843,0.039157,0.093373
