step_lo,step_hi,rank,count
0,30,1,290586
0,30,2,97568
0,30,3,44820
0,30,4,24440
0,30,5,15902
0,30,6,11515
0,30,7,8911
0,30,8,7239
0,30,9,6121
0,30,10,5332
0,30,11,4511
0,30,12,4099
0,30,13,3585
0,30,14,3165
0,30,15,2882
0,30,16,2653
0,30,17,45537
0,30,18,1134
30,60,1,329540
30,60,2,102141
30,60,3,33765
30,60,4,13056
30,60,5,6299
30,60,6,4114
30,60,7,3244
30,60,8,2830
30,60,9,2525
30,60,10,2418
30,60,11,2307
30,60,12,2233
30,60,13,2114
30,60,14,2057
30,60,15,1952
30,60,16,1930
30,60,17,77215
30,60,18,10260
60,90,1,344835
60,90,2,106911
60,90,3,33949
60,90,4,10759
60,90,5,4373
60,90,6,2391
60,90,7,1650
60,90,8,1336
60,90,9,1238
60,90,10,1210
60,90,11,1108
60,90,12,1038
60,90,13,1104
60,90,14,1043
60,90,15,1007
60,90,16,1025
60,90,17,58714
60,90,18,26309
90,120,1,352454
90,120,2,110140
90,120,3,33871
90,120,4,10734
90,120,5,3683
90,120,6,1746
90,120,7,1106
90,120,8,903
90,120,9,785
90,120,10,713
90,120,11,661
90,120,12,652
90,120,13,697
90,120,14,669
90,120,15,649
90,120,16,619
90,120,17,38121
90,120,18,41797
120,150,1,358869
120,150,2,112783
120,150,3,33541
120,150,4,10042
120,150,5,3424
120,150,6,1432
120,150,7,796
120,150,8,661
120,150,9,575
120,150,10,506
120,150,11,497
120,150,12,431
120,150,13,423
120,150,14,480
120,150,15,450
120,150,16,442
120,150,17,21018
120,150,18,53630
150,180,1,362548
150,180,2,114266
150,180,3,33573
150,180,4,9641
150,180,5,3161
150,180,6,1276
150,180,7,674
150,180,8,528
150,180,9,430
150,180,10,368
150,180,11,401
150,180,12,347
150,180,13,379
150,180,14,371
150,180,15,351
150,180,16,356
150,180,17,8874
150,180,18,62456
180,210,1,322561
180,210,2,102733
180,210,3,29857
180,210,4,8483
180,210,5,2692
180,210,6,1013
180,210,7,509
180,210,8,357
180,210,9,262
180,210,10,218
180,210,11,190
180,210,12,194
180,210,13,142
180,210,14,158
180,210,15,136
180,210,16,126
180,210,17,843
180,210,18,63116
210,240,1,9776
210,240,2,3345
210,240,3,1000
210,240,4,304
210,240,5,91
210,240,6,38
210,240,7,26
210,240,8,13
210,240,9,8
210,240,10,9
210,240,11,7
210,240,12,5
210,240,13,7
210,240,14,6
210,240,16,5
210,240,17,71
210,240,18,3668
240,270,1,932
240,270,2,255
240,270,3,92
240,270,4,24
240,270,5,10
240,270,6,7
240,270,8,4
240,270,9,4
240,270,10,2
240,270,11,2
240,270,13,3
240,270,14,1
240,270,15,1
240,270,17,16
240,270,18,244
270,300,1,317
270,300,2,112
270,300,3,28
270,300,4,14
270,300,5,4
270,300,6,2
270,300,7,1
270,300,9,1
270,300,10,1
270,300,11,1
270,300,15,1
270,300,17,8
270,300,18,91
300,-1,1,193
300,-1,2,72
300,-1,3,13
300,-1,4,2
300,-1,5,2
300,-1,17,2
300,-1,18,48
