[load] queries n=200000 dim=128 | gtruth n=200000 width=100
[numa] vectors_node=-1 graph_node=-1
[load] index in 27.0s: cur_nodes=100000000 dim=128 threads=32 K=10
[phase] load_done elapsed_s=27.159
[phase] warmup_done elapsed_s=32.161
ef       time_s       QPS          recall@K  
80       2.5142       79548        0.8671    
80       2.5077       79753        0.8671    
80       2.4932       80218        0.8671    
80       2.5000       80001        0.8671    
80       2.4842       80509        0.8671    
80       2.4826       80562        0.8671    
80       2.4740       80841        0.8671    
80       2.4710       80938        0.8671    
80       2.4692       80999        0.8671    
80       2.4792       80673        0.8671    
80       2.4814       80600        0.8671    
80       2.4875       80403        0.8671    
