[load] queries n=200000 dim=128 | gtruth n=200000 width=100
[numa] vectors_node=1 graph_node=0
[load] index in 29.4s: cur_nodes=100000000 dim=128 threads=32 K=10
[phase] load_done elapsed_s=29.602
[phase] warmup_done elapsed_s=34.762
ef       time_s       QPS          recall@K  
80       2.4687       81013        0.8671    
80       2.4444       81819        0.8671    
80       2.4223       82568        0.8671    
80       2.3994       83354        0.8671    
80       2.4005       83315        0.8671    
80       2.4135       82868        0.8671    
80       2.4251       82470        0.8671    
80       2.4163       82772        0.8671    
80       2.4179       82716        0.8671    
80       2.4021       83262        0.8671    
80       2.3836       83906        0.8671    
80       2.3921       83610        0.8671    
