# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu/mem-loads-aux/'
# Total weight : 1616
# Sort order   : symbol,ipc_null
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                   IPC   [IPC Coverage]
# ........  .......................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    48.45%  [k] __rcu_read_unlock                                                                                                                                                                                                                                                                                                                                                                                    -      -            
    36.88%  [.] std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int> > >, flatnav::Index<flatnav::distances::SquaredL2Distance<(flatnav::util::DataType)9>, int>::CompareByFirst> flatnav::Index<flatnav::distances::SquaredL2Distance<(flatnav::util::DataType)9>, int>::beamSearch<true>(void const*, unsigned int, int)  -      -            
     6.44%  [.] _int_free                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     2.60%  [k] page_remove_rmap                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     1.55%  [k] sync_regs                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     1.11%  [k] __mod_memcg_lruvec_state                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.93%  [k] __mod_lruvec_page_state                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.43%  [k] __mod_node_page_state                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.37%  [.] malloc                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.19%  [.] std::thread::_State_impl<std::thread::_Invoker<std::tuple<flatnav::executeInParallel<main::{lambda(int)#2}::operator()(int) const::{lambda(unsigned int)#1}>(unsigned int, unsigned int, unsigned int, main::{lambda(int)#2}::operator()(int) const::{lambda(unsigned int)#1})::{lambda()#1}> > >::_M_run()                                                                                          -      -            
     0.12%  [k] native_queued_spin_lock_slowpath                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.12%  [k] update_sd_lb_stats.constprop.0                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.06%  [k] __memcpy                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.06%  [k] __mod_lruvec_state                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.06%  [k] _find_next_and_bit                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.06%  [k] _raw_spin_unlock_irq                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.06%  [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.06%  [k] cpu_util                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.06%  [.] malloc@plt                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.06%  [.] operator delete(void*)                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.06%  [.] operator new(unsigned long)                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.06%  [k] perf_event_alloc                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.06%  [.] pthread_mutex_lock@@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.06%  [k] timekeeping_advance                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.06%  [k] update_vsyscall                                                                                                                                                                                                                                                                                                                                                                                      -      -            


# Samples: 10K of event 'cpu/mem-loads,ldlat=128/P'
# Total weight : 10918
# Sort order   : symbol,ipc_null
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                   IPC   [IPC Coverage]
# ........  .......................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    94.89%  [.] std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int> > >, flatnav::Index<flatnav::distances::SquaredL2Distance<(flatnav::util::DataType)9>, int>::CompareByFirst> flatnav::Index<flatnav::distances::SquaredL2Distance<(flatnav::util::DataType)9>, int>::beamSearch<true>(void const*, unsigned int, int)  -      -            
     3.84%  [.] flatnav::distances::SquaredL2Impl<float>::computeDistance(float const*, float const*, unsigned long const&)                                                                                                                                                                                                                                                                                          -      -            
     0.61%  [.] flatnav::Index<flatnav::distances::SquaredL2Distance<(flatnav::util::DataType)9>, int>::search(void const*, int, int, int)                                                                                                                                                                                                                                                                           -      -            
     0.12%  [.] malloc                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.12%  [.] pthread_mutex_lock@@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.08%  [.] pthread_mutex_unlock@@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.07%  [.] _int_free                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.05%  [.] std::vector<bool, std::allocator<bool> >::_M_insert_aux(std::_Bit_iterator, bool) [clone .isra.0]                                                                                                                                                                                                                                                                                                    -      -            
     0.03%  [k] release_pages                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.02%  [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.02%  [.] operator new(unsigned long)                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.02%  [k] sugov_update_single_freq                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.01%  [k] __hrtimer_run_queues                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.01%  [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.01%  [k] __x64_sys_futex                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.01%  [.] _int_malloc                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.01%  [k] account_user_time                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.01%  [k] get_futex_key                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.01%  [k] hrtimer_interrupt                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.01%  [k] ktime_get_update_offsets_now                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.01%  [k] native_sched_clock                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.01%  [k] page_remove_rmap                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] std::thread::_State_impl<std::thread::_Invoker<std::tuple<flatnav::executeInParallel<main::{lambda(int)#2}::operator()(int) const::{lambda(unsigned int)#1}>(unsigned int, unsigned int, unsigned int, main::{lambda(int)#2}::operator()(int) const::{lambda(unsigned int)#1})::{lambda()#1}> > >::_M_run()                                                                                          -      -            
     0.01%  [k] syscall_return_via_sysret                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.01%  [k] unmap_page_range                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [k] update_curr                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.01%  [k] update_sd_lb_stats.constprop.0                                                                                                                                                                                                                                                                                                                                                                       -      -            


#
# (Tip: Limit to show entries above 5% only: perf report --percent-limit 5)
#
