1789601003.837866309 node0=0.10GB node1=0.05GB 
1789601008.871471153 node0=4.80GB node1=4.94GB 
1789601014.007545774 node0=4.80GB node1=14.11GB 
1789601019.214130211 node0=4.80GB node1=23.43GB 
1789601024.499641785 node0=4.80GB node1=32.90GB 
1789601029.865844231 node0=4.80GB node1=43.31GB 
1789601035.315575498 node0=11.02GB node1=47.69GB 
1789601040.859471637 node0=17.22GB node1=47.69GB 
1789601046.460561448 node0=18.59GB node1=47.69GB 
1789601052.074427054 node0=18.59GB node1=47.69GB 
1789601057.685710387 node0=18.59GB node1=47.69GB 
1789601063.295519209 node0=18.59GB node1=47.69GB 
1789601068.904097198 node0=18.59GB node1=47.69GB 
1789601074.511229216 node0=18.59GB node1=47.69GB 
1789601080.119988881 node0=18.59GB node1=47.69GB 
1789601085.731380168 node0=18.59GB node1=47.69GB 
1789601091.337799229 node0=18.59GB node1=47.69GB 
1789601096.951294343 node0=21.54GB node1=47.69GB 
1789601102.592769454 node0=21.83GB node1=47.69GB 
1789601108.240003866 node0=22.12GB node1=47.69GB 
