1789601112.195749001 node0=0.02GB node1=0.00GB 
1789601117.212797508 node0=4.80GB node1=4.84GB 
1789601122.346006800 node0=4.80GB node1=13.93GB 
1789601127.466698724 node0=4.80GB node1=23.04GB 
1789601132.620064258 node0=4.80GB node1=32.21GB 
1789601137.807960775 node0=4.80GB node1=42.20GB 
1789601143.038761453 node0=9.43GB node1=47.69GB 
1789601148.303314404 node0=17.22GB node1=47.69GB 
1789601153.919361098 node0=18.59GB node1=47.69GB 
1789601159.532814536 node0=18.59GB node1=47.69GB 
1789601165.149227498 node0=18.59GB node1=47.69GB 
1789601170.764259471 node0=18.59GB node1=47.69GB 
1789601176.372141165 node0=18.59GB node1=47.69GB 
1789601181.983338198 node0=18.59GB node1=47.69GB 
1789601187.602243896 node0=18.59GB node1=47.69GB 
1789601193.218399708 node0=18.59GB node1=47.69GB 
1789601198.836100321 node0=18.59GB node1=47.69GB 
1789601204.443095227 node0=21.51GB node1=47.69GB 
1789601210.281081943 node0=21.81GB node1=47.69GB 
1789601215.638266369 node0=22.09GB node1=47.69GB 
1789601221.466509216 node0=22.17GB node1=47.69GB 
1789601227.591173483 node0=22.17GB node1=47.69GB 
