,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-04-13,13:45:50.822, 5953.99,  284.48, 3592.31,  172.73, 3590.57,  170.88, 3590.62,  168.68,16727.49,  796.77,    136362,17524.26, 5870.15,  766.50, 2893.33,  353.61, 2900.82,  356.32, 2899.30,  354.15,14563.59, 1830.58,    172192,16394.17,  31291.08,   2627.35,  33918.43
2026-04-13,13:45:51.822, 5697.25,  281.58, 3439.78,  170.69, 3437.58,  169.03, 3437.66,  166.83,16012.27,  788.13,    135730,16800.40, 5635.86,  761.80, 2780.44,  350.97, 2787.10,  354.10, 2786.53,  351.84,13989.92, 1818.71,    168370,15808.63,  30002.20,   2606.84,  32609.04
2026-04-13,13:45:52.823, 5898.93,  283.21, 3565.39,  171.87, 3563.30,  169.88, 3563.16,  167.63,16590.77,  792.58,    136548,17383.36, 5829.19,  768.24, 2872.16,  353.37, 2878.83,  356.43, 2877.07,  353.79,14457.26, 1831.82,    172033,16289.09,  31048.04,   2624.41,  33672.45
2026-04-13,13:45:53.823, 6079.69,  286.14, 3672.97,  173.19, 3670.83,  171.22, 3671.13,  168.91,17094.62,  799.46,    136747,17894.08, 6010.83,  783.41, 2960.35,  361.34, 2966.12,  364.04, 2965.20,  361.73,14902.50, 1870.53,    174496,16773.03,  31997.12,   2669.98,  34667.11
2026-04-13,13:45:54.824, 6039.62,  283.27, 3650.17,  172.58, 3648.03,  170.73, 3648.07,  168.18,16985.88,  794.76,    136668,17780.65, 5958.57,  773.13, 2936.55,  356.99, 2943.42,  360.14, 2940.67,  357.71,14779.21, 1847.98,    173851,16627.19,  31765.09,   2642.74,  34407.83
2026-04-13,13:45:55.824, 5686.76,  280.28, 3430.69,  168.94, 3429.06,  167.30, 3428.90,  164.70,15975.41,  781.22,    135479,16756.63, 5608.47,  753.05, 2764.25,  347.59, 2771.51,  350.62, 2769.96,  348.30,13914.19, 1799.55,    168427,15713.75,  29889.60,   2580.77,  32470.38
2026-04-13,13:45:56.824, 5922.02,  283.45, 3574.32,  172.69, 3573.52,  170.86, 3572.86,  168.67,16642.72,  795.67,    136245,17438.39, 5843.00,  769.32, 2877.63,  353.93, 2885.38,  357.05, 2883.16,  354.37,14489.18, 1834.67,    172353,16323.85,  31131.89,   2630.34,  33762.23
2026-04-13,13:45:57.824, 6013.30,  278.37, 3638.89,  168.98, 3637.02,  167.02, 3636.35,  164.49,16925.55,  778.86,    136548,17704.42, 5941.42,  765.07, 2919.30,  351.67, 2925.53,  354.45, 2922.96,  352.51,14709.21, 1823.71,    174152,16532.92,  31634.77,   2602.57,  34237.34
2026-04-13,13:45:58.825, 6075.67,  286.91, 3671.29,  174.66, 3669.03,  172.77, 3668.02,  170.35,17084.00,  804.69,    136731,17888.69, 6009.49,  784.63, 2958.97,  360.95, 2965.57,  364.58, 2963.21,  361.70,14897.25, 1871.85,    175157,16769.10,  31981.25,   2676.54,  34657.80
2026-04-13,13:45:59.825, 5986.90,  283.51, 3619.50,  173.67, 3619.18,  172.42, 3618.38,  169.74,16843.96,  799.34,    136745,17643.29, 5907.27,  772.38, 2912.07,  355.63, 2919.66,  359.10, 2915.77,  356.01,14654.78, 1843.12,    172818,16497.91,  31498.74,   2642.46,  34141.20
2026-04-13,13:46:00.826, 6079.65,  287.27, 3671.55,  174.56, 3669.49,  173.16, 3668.66,  170.34,17089.36,  805.32,    136754,17894.68, 6007.23,  783.21, 2958.96,  360.75, 2965.06,  363.53, 2963.17,  361.25,14894.41, 1868.74,    174960,16763.15,  31983.77,   2674.06,  34657.83
