,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-04-12,19:34:42.517,    3.39,    0.75,    2.86,    0.81,    2.79,    0.71,    2.34,    0.28,   11.38,    2.55,     13986,   13.93,   30.57,  210.38,   14.53,  201.81,   13.01,  200.30,    9.65,  196.95,   67.77,  809.44,    128770,  877.21,     79.15,    811.99,    891.14
2026-04-12,19:34:43.517,    3.25,    0.21,    2.85,    0.50,    2.79,    0.42,    2.42,    0.06,   11.31,    1.19,     11526,   12.50,   28.31,  211.50,   14.35,  202.65,   12.83,  201.13,    9.48,  197.77,   64.98,  813.05,    128725,  878.03,     76.29,    814.24,    890.53
2026-04-12,19:34:44.517,    2.85,    0.17,    2.39,    0.31,    2.37,    0.28,    2.12,    0.04,    9.73,    0.80,      7101,   10.53,   27.68,  210.24,   14.28,  202.37,   12.76,  200.87,    9.41,  197.49,   64.12,  810.97,    128691,  875.09,     73.85,    811.77,    885.62
2026-04-12,19:34:45.517,    2.54,    0.14,    2.37,    0.41,    2.35,    0.36,    2.00,    0.03,    9.26,    0.94,     10081,   10.20,   27.01,  210.52,   13.91,  202.72,   12.38,  201.20,    9.02,  197.83,   62.32,  812.27,    128799,  874.59,     71.58,    813.21,    884.79
2026-04-12,19:34:46.518,    2.58,    0.14,    2.35,    0.32,    2.33,    0.29,    2.05,    0.03,    9.30,    0.78,      7565,   10.08,   27.03,  210.29,   13.93,  202.49,   12.42,  200.98,    9.08,  197.62,   62.46,  811.39,    128682,  873.85,     71.76,    812.18,    883.93
2026-04-12,19:34:47.518,  202.07,  950.77,   56.88,  238.64,   57.01,  237.90,   55.89,  236.08,  371.85, 1663.39,     67630, 2035.24,  375.73,  589.27,  124.94,  521.07,  134.61,  519.16,   86.28,  516.26,  721.56, 2145.75,    128818, 2867.31,   1093.41,   3809.14,   4902.55
2026-04-12,19:34:48.518,  937.79,   80.19,  369.92,   33.25,  367.66,   31.65,  365.05,   28.48, 2040.43,  173.57,    128886, 2213.99,  309.07,   32.14,  275.35,   29.46,  259.40,   25.37,  265.35,   24.79, 1109.17,  111.77,    128959, 1220.94,   3149.60,    285.33,   3434.94
2026-04-12,19:34:49.518, 3878.00,  149.20, 1481.42,   52.64, 1477.72,   51.67, 1475.09,   48.31, 8312.23,  301.81,    130003, 8614.05,  976.26,   54.69,  951.45,   49.67,  942.38,   46.45,  946.07,   45.27, 3816.17,  196.09,    129534, 4012.26,  12128.40,    497.90,  12626.30
2026-04-12,19:34:50.519, 5822.85,  203.29, 1938.49,   61.75, 1935.24,   60.71, 1931.98,   57.21,11628.56,  382.97,    130708,12011.53, 1460.98,   78.89, 1439.28,   73.58, 1432.16,   70.50, 1434.90,   69.22, 5767.32,  292.19,    130522, 6059.51,  17395.88,    675.16,  18071.04
2026-04-12,19:34:51.519, 6954.49,  252.11, 1994.67,   67.92, 1991.06,   67.01, 1990.09,   63.55,12930.32,  450.59,    131026,13380.90, 1676.95,   95.88, 1656.67,   91.25, 1652.61,   88.11, 1653.65,   86.66, 6639.89,  361.89,    130791, 7001.78,  19570.21,    812.48,  20382.69
2026-04-12,19:34:52.520, 8327.62,  302.23, 2200.99,   79.21, 2196.55,   78.30, 2196.06,   74.84,14921.22,  534.58,    131548,15455.80, 1974.88,  118.73, 1952.67,  113.42, 1948.82,  110.24, 1950.62,  108.61, 7826.98,  451.00,    131701, 8277.98,  22748.21,    985.57,  23733.78
2026-04-12,19:34:53.520, 8313.13,  316.33, 2141.08,   84.56, 2135.42,   83.32, 2135.72,   80.13,14725.35,  564.35,    131264,15289.70, 2010.52,  128.65, 1988.19,  123.53, 1985.19,  120.35, 1985.27,  118.69, 7969.17,  491.22,    131595, 8460.39,  22694.52,   1055.57,  23750.09
2026-04-12,19:34:54.520, 8726.71,  345.75, 2383.67,   97.19, 2375.90,   95.91, 2376.46,   92.59,15862.74,  631.44,    132084,16494.18, 2204.06,  145.04, 2184.12,  139.81, 2182.71,  137.07, 2182.24,  135.05, 8753.13,  556.96,    132318, 9310.09,  24615.87,   1188.41,  25804.28
2026-04-12,19:34:55.520, 8362.55,  355.85, 2420.91,  102.11, 2413.63,  100.72, 2413.18,   97.40,15610.26,  656.08,    132194,16266.34, 2210.93,  152.67, 2191.34,  147.56, 2189.92,  144.99, 2188.36,  142.84, 8780.55,  588.05,    132179, 9368.60,  24390.81,   1244.13,  25634.95
2026-04-12,19:34:56.520, 8262.25,  377.63, 2478.25,  109.17, 2470.84,  107.67, 2470.53,  104.28,15681.87,  698.74,    132361,16380.61, 2249.06,  163.08, 2231.15,  158.22, 2228.63,  155.49, 2227.06,  153.59, 8935.91,  630.38,    132459, 9566.28,  24617.78,   1329.12,  25946.89
2026-04-12,19:34:57.520, 8901.50,  411.58, 2658.01,  116.68, 2650.08,  115.09, 2650.50,  111.83,16860.10,  755.18,    132742,17615.28, 2459.02,  178.89, 2440.12,  173.82, 2438.59,  171.38, 2437.89,  169.33, 9775.62,  693.42,    132993,10469.04,  26635.71,   1448.60,  28084.32
2026-04-12,19:34:58.520, 8514.50,  358.43, 2437.83,  103.60, 2430.68,  102.39, 2430.27,   98.59,15813.29,  663.01,    132250,16476.29, 2368.38,  203.93, 2350.32,  200.68, 2354.79,  199.05, 2349.61,  196.00, 9423.11,  799.66,    132964,10222.77,  25236.40,   1462.67,  26699.07
2026-04-12,19:34:59.520, 8520.03,  342.29, 2475.05,   99.90, 2469.75,   98.44, 2468.40,   94.80,15933.23,  635.43,    132296,16568.66, 2437.01,  224.85, 2414.49,  222.11, 2418.50,  220.56, 2413.61,  217.25, 9683.60,  884.77,    133274,10568.37,  25616.83,   1520.20,  27137.03
2026-04-12,19:35:00.520, 9206.09,  355.58, 2630.25,  103.08, 2623.66,  101.52, 2623.26,   97.97,17083.25,  658.15,    132585,17741.40, 2635.92,  244.65, 2620.17,  242.35, 2626.29,  240.63, 2621.31,  237.37,10503.69,  965.00,    133676,11468.69,  27586.94,   1623.15,  29210.09
