,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-04-12,05:08:20.556,   68.85,  654.54,   18.34,  439.53,   18.72,  439.57,   21.95,  442.90,  127.86, 1976.54,    129046, 2104.40,    5.06,    3.20,    2.60,    2.33,    2.56,    2.32,    2.74,    2.57,   12.96,   10.41,      9634,   23.37,    140.82,   1986.95,   2127.77
2026-04-12,05:08:21.556,  100.49,  463.45,   69.31,  433.27,   69.45,  433.31,   72.71,  436.62,  311.95, 1766.65,    129109, 2078.60,    6.02,    1.52,    2.61,    0.88,    2.58,    0.89,    2.70,    1.02,   13.91,    4.32,      4694,   18.23,    325.86,   1770.96,   2096.83
2026-04-12,05:08:22.556,  234.91,  381.12,  216.16,  363.78,  216.25,  363.81,  219.63,  367.13,  886.95, 1475.85,    130119, 2362.79,    1.51,    0.54,    0.72,    0.24,    0.72,    0.25,    0.83,    0.35,    3.78,    1.38,      3838,    5.16,    890.73,   1477.23,   2367.95
2026-04-12,05:08:23.556,  225.07,  392.44,  207.01,  375.16,  207.14,  375.19,  210.49,  378.52,  849.71, 1521.30,    129956, 2371.02,    1.39,    0.76,    0.32,    0.18,    0.31,    0.19,    0.62,    0.48,    2.65,    1.61,     11220,    4.26,    852.36,   1522.92,   2375.28
2026-04-12,05:08:24.556,  133.16,  239.25,  116.14,  223.73,  116.30,  223.75,  119.63,  227.09,  485.23,  913.82,    129418, 1399.05,    1.20,    0.43,    0.34,    0.14,    0.33,    0.15,    0.46,    0.25,    2.33,    0.97,      3996,    3.30,    487.56,    914.78,   1402.35
2026-04-12,05:08:25.556,   59.44,  303.17,   36.28,  281.39,   36.45,  281.44,   39.72,  284.74,  171.90, 1150.74,    128808, 1322.64,    1.78,    0.72,    0.52,    0.25,    0.50,    0.25,    0.70,    0.44,    3.51,    1.65,      6969,    5.17,    175.42,   1152.39,   1327.81
2026-04-12,05:08:26.556,  543.66,  616.11,  524.88,  598.92,  524.95,  598.95,  528.29,  602.28, 2121.79, 2416.26,    132349, 4538.05,    1.19,    0.38,    0.31,    0.09,    0.31,    0.08,    0.43,    0.20,    2.24,    0.76,      4135,    3.00,   2124.03,   2417.01,   4541.05
2026-04-12,05:08:27.557,   60.23,  176.36,   45.85,  162.81,   45.96,  162.84,   49.30,  166.17,  201.35,  668.19,    128791,  869.53,    1.09,    0.54,    0.22,    0.14,    0.22,    0.14,    0.42,    0.32,    1.94,    1.14,      6990,    3.08,    203.28,    669.32,    872.61
2026-04-12,05:08:28.556,   60.04,  175.82,   45.74,  162.29,   45.88,  162.31,   49.25,  165.64,  200.91,  666.06,    128842,  866.97,    0.90,    0.34,    0.20,    0.08,    0.20,    0.09,    0.31,    0.18,    1.60,    0.69,      3556,    2.30,    202.51,    666.75,    869.26
